id,text,label,generation_type,source,source_id
0," Title: Waqar Younis Resigns as Pakistan Coach Amid Disappointing Results

LAHORE - In a surprising turn of events, Waqar Younis has tendered his resignation as the head coach of the Pakistan cricket team, three months ahead of the expiration of his contract. The decision comes just a day after Shahid Afridi stepped down as the T20 captain.

The resignations follow Pakistan's underwhelming showings in the Asia Cup held in Bangladesh and the World T20 tournament in India. The team managed to secure victories in only three out of the eight matches they contested across both tournaments, failing to progress beyond the initial rounds. It has been over ten months since Pakistan last tasted victory in any format, having won a 2-Test series against England in the UAE back in October 2019. Since then, the team has suffered defeats in the ODI and T20 series against England, followed by losses in the T20 and ODI series against New Zealand.

In his resignation letter submitted to PCB chairman Shahryar Khan and the board's executive committee, Waqar cited the team's recent poor performances as the primary reason for his decision. It marks his second tenure as head coach, having previously held the position in 2010-11 before stepping down due to personal reasons.

Despite the disappointing results, the Pakistan Cricket Board (PCB) has yet to announce a replacement for Waqar or a new captain following Afridi's resignation. The search for fresh leadership is expected to begin in earnest soon.",ai,ai_rewrite,news,news_538
1," Kolkata, India - West Indies' mercenary squad in the World Twenty20 will aim to unleash their Caribbean flair against a fearless England team in Sunday's final, as both sides strive for the honor of becoming the first to claim a second title in this prestigious tournament.

Despite nearly boycotting the event due to a contractual dispute with their board, Darren Sammy and his troops have effortlessly made their way to the Kolkata final, showcasing the same skill and bravado that has earned them worldwide admiration. If Twenty20 cricket is indeed about power and knowledge of destructive potential, then Chris Gayle's 47-man army, who heavily rely on Gayle's ability to breach opponents' defenses, certainly have the tools for the job. Marlon Samuels, Lendl Simmons, and Andre Russell have taken their cue from their illustrious teammates and made a name for themselves over the past month.

""We said before the tournament that Chris is under pressure,"" Sammy admitted after the thrilling semifinal win. ""But he's got us here, so we're happy with him."" The West Indies side, however, are far from invincible.

England have displayed two contrasting aspects of their game in recent matches, suffering an embarrassing defeat to qualifiers Afghanistan before silencing a boisterous home crowd as they knocked out favorites India. The England team that West Indies will face on Sunday is not the same one they convincingly defeated by six wickets in the group stage last month. Eoin Morgan's side have gradually found their rhythm and the right combinations throughout the tournament since that defeat. They demonstrated courage against a high-flying Afghanistan, showed resilience to hold their nerve against Sri Lanka, and stunned the previously undefeated New Zealand with a near-flawless performance.

Their batsmen, particularly Jason Roy, Joe Root, and Jos Buttler, have batted with a freedom that has been refreshing to watch. Their catching has also been nothing short of exceptional. Equally impressive has been their death bowling. Ben Stokes appeared to possess ice in his veins during the final over against Sri Lanka, thwarting Angelo Mathews' audacious attempt at pulling off a sensational victory as England secured their place in the last four. Against New Zealand, Stokes and Chris Jordan successfully contained the Black Caps during the final four overs, conceding only 20 runs and claiming five wickets, restricting them to a total that England chased down with 17 balls to spare. Morgan has freed his batsmen from the weight of expectation, and it is evident in their performance.

""That's the way a lot of us play,"" Roy said of England's aggressive batting after his 44-ball innings of 78 set the foundation for victory over New Zealand. ""The whole team has got that kind of license, that kind of opportunity to go out there and do what they want and be free with their skills.""",ai,ai_rewrite,news,news_416
2,"on. A female lies on her back, calling like crazy. Males rush in one after another, a dozen or more in a row. There’s lots of thrashing around, churning water. And plenty of visible whale penises ‘about as long as this cabin’, Mayo said, spreading his arms wide. The only trouble is that he and others have seen the whales going at it at the ‘wrong’ times of year, considering that calves are born December through March. Which raises all kinds of questions: whether estimates of their gestation period are off, whether females might be able to store sperm and become pregnant at some later point, whether the whales might mate just for kicks. When it comes to whales, Hunt said: ‘There’s no other animal on the planet where we just know that little about basic reproduction.’ In 2012, as research in keratin-based tissues percolated in labs around the world, Raphaela Stimmelmayr, a biologist and wildlife veterinarian with North Slope Borough in Barrow, Alaska, who had been sending Hunt and Rolland bowhead poop for years, contacted the pair to suggest applying the keratin approach to baleen. ‘This suddenly got really exciting as soon as we realised we might be able to get a pregnancy signature out of the baleen,’ Hunt said. ‘There’s really been no way to reconstruct the history of an individual whale.’ Hunt, Rolland and several colleagues began with a pilot study published in 2014 of bowhead whales killed by native Alaskan hunters. Bowheads were a logical species to start with because these subsistence hunts are the one sustainable, fresh, reliable source of baleen, which you can get only from a dead whale. Also, bowheads, which are right whales’ closest relatives, have the longest- and slowest-growing baleen. An adult’s plate appears to capture 25 years of growth, longer than any other keratin-based tissue that has been studied. The team was able to detect the stress hormone cortisol and the reproductive hormone progesterone in the baleen, and could clearly distinguish between males and females, and pregnant and non-pregnant females. Since baleen grows continuously, it doesn’t produce annual rings like a tree does; instead, the researchers used existing estimates of baleen growth rates as a chronometer for their samples. Best of all, when they looked by intervals at older baleen from mature females, they found changes in progesterone that neatly matched bowheads’ estimated gestation length. The baleen seemed to document past pregnancies. What they needed to cross-check the technique was baleen from whales with known pregnancy histories. That’s where Stumpy and another ship-struck female North Atlantic right whale nicknamed Staccato came in. Both whales had a nearly 30-year-long file of regular sightings, including two recent pregnancies. And the carcasses of both happened to be found and dissected by scientists who had the foresight to collect plates of their baleen and tuck it away. ‘They’re really valuable plates,’ Hunt said. Sure",human,human,essays_texts.csv,essays_1388_chunk3
3,"LONDON: Joe Root was named Test Player of the Year, Limited day tons and was his teams leading scorer at the recent World Twenty20 tournament in India. He overcame competition from Stuart Broad and Ben Stokes for the Test award and edged Jos Buttler and David Willey in the Limited-Overs category with both prizes decided upon by a media poll.Its been a remarkable year for our international teams, said England and Wales Cricket Board CEO Tom Harrison. The womens Ashes attracted record attendances and unprecedented levels of media interest.Our physical disability team won the inaugural Physical Disability World Cup in Bangladesh and our mens team regained the Ashes, won a major Test series in South Africa and reached the final of the World T20 tournament. Each of the players honoured tonight, has made a big contribution to England cricket, helping to win matches and to inspire a wider audience and deserves the highest praise. The awards were handed out at a celebratory dinner in the northern English city of Leeds which stages Englands first Test against Sri Lanka later this week. Somersets Anya Shrubsole was voted Womens Player of the Year with veteran England skipper Charlotte Edwards who recently announced her international retirement taking home the fans prize. There was also a Special Achievement Award for former England coach turned Sky Sports commentator David Lloyd.",human,human,articles.csv,articles_1754
4,"strong>ISLAMABAD: Guinness Book of World Records has accepted the record of Pakistani Taekwondo black belt Ahmad Amin Bodla for most knuckle pushups wearing 40 lb weight in one minute.</strongBodla said the record for most knuckle pushups wearing 40 lb weight on back has been approved by Guinness World Records with 24 reps whereas the minimum requirement to set record was 15 reps. Bodla said to improve his record he will practice a few days and get over 50 reps.I aim to break 20 more Guinness Records this year. I am very grateful to my family teachers and friends for their immense support, he said. It may be mentioned that this is the seventh time Bodla has made it to Guinness. The 23 year old has been breaking world records for the last five years. Bodla also holds the record for most martial arts kicks in one minute (355 kicks) and the record for most martial arts kicks in three minutes (801).Bodla has the record for most martial arts kicks in one hour (6970) and most full contact knee strikes in one minute (79).",human,human,articles.csv,articles_1994
5," Walking through San Marco, it was the way people held their hands that struck me. This mirroring created a sense of deep tranquility, like stepping into a new environment. It felt as if I'd entered a tangible medium  something I could immerse myself in, something that could transform the ambiance of a room, making everything seem sweeter, cooler, calmer, brighter than before. To greet the world with love, tenderness, and joy  this, I believe, is what Angelico's paintings suggest faith allows you to do.

Two thoughts crossed my mind then. The first was that I hadn't truly grasped the art of painting until that afternoon. What makes painting great, I realized, is its ability to create an atmosphere around itself, one that can affect you generations later. The second was that I hadn't fully contemplated the values of Angelico's world, hadn't decided to adopt them for myself. Instead, it felt like I was viewing things under a new light  the serene, radiant light of Angelico's paintings. It occurred to me that this is what faith means  not a set of beliefs you hold to be true or rules you follow, but an atmosphere you inhabit, one that alters your perception of the world, your understanding of its essence.

San Marco itself hinted at this connection. After all, wasn't that what the friars' daily lives were about  what those special rituals and practices were for? They were the tools used to cultivate and maintain an atmosphere of faith  that unique way of existing in the world. When I look at The Last Judgment now, it's not the promise of an afterlife or the idea of a just, orderly universe that moves me. It's the depiction of a world where everything matters, where everything has weight and significance. This, it seems to me, is the allure of faith: it imbues things with a profound, intrinsic worth.

I find myself drawn to a particular detail in the painting  a small angel in the garden of the blessed, tenderly embracing a friar who has just risen from his grave. To greet the world as the angel greets the friar, with love, tenderness, and joy  this, Angelico's paintings seem to suggest, is what faith empowers you to do. The question for a secular person is how, in the absence of faith, one can come to experience the world that way. Is it possible to maintain a sense of the sacred, even without belief? My experience at San Marco suggests an answer. We may not share the friars' beliefs. But perhaps, by adopting the practices they used to nurture their faith  by placing ourselves in situations where the sacred might be encountered  we can cultivate our own sense of the profound and meaningful.",ai,ai_rewrite,essay,essay_584
6,I've fequented here often enough to know that all the majority of the games here are all those ticket games and little claw type games. I come to hang out with friends and play some games. I can in on tuesday night around 6pm and thought to have dinner there since I had a coupon for the place. I really didn't care about price at the time with the coupon. After being seated our waitress got our drinks took our order and everything was fine. After we recieved the food we were left unattended for quite some time. When the waitress finally returned I had to ask for a refill and some ketchup as well. My drink was empty so I would assume that would be something that the waitress would ask but I caught her before she left. My boyfriend did not recieve a single refill the entire night and we were there from 6pm to 9pm. We had friends meet us there and we just chatted it up for some time. It wasn't for some time that we realised that the place was bare not just of customers but of staff as well. It was as if they closed the place down and just left us. After the waitress had taken our check and cashed us out that was the last we saw of her. The plates of our food were still in front us the entire time and we had kind of placed them all together so that she could come and just take them...kind of thought that the bunch of plates stacked together would give the hint we were done but I guess I shouldn't be so subtle next time. The food was ok at best. Nothing bad nothing good in hind sight though if I had to pay full price for what I got if that waitress had left us like she did and I didn't frequent the games I would've walked out. Probably wouldn't notice. All in all go for the games if anything else. The games are even ok that is IF they are running. Sometimes I come in and games are off or not working. This is just a place that is convienent for myself and friends to meet up.,human,human,yelp.csv,yelp_8397
7," Title: A Romantic Evening at Cheuvront's - A Hidden Gem!

I recently took my date to this stunning restaurant that I simply cannot recommend enough - Cheuvront's. It's the perfect spot for a romantic night out, and trust me, it definitely sets the mood. The interior is modern yet intimate, with an urban vibe that's just dark enough to create a mysterious allure.

We started off our evening by ordering a bottle of wine from their impressive selection. The sommelier was more than happy to help us choose a wine to pair with our meal. To accompany the wine, we also opted for a cheese plate and a pate plate, allowing the staff to select cheeses and pates that complemented our chosen wine.

The cheese plate consisted of three exquisite cheeses, each more delicious than the last. It was served with fresh bread, some crunchy nuts, and tart dried cranberries - a perfect balance of flavors and textures. The pate plate was equally impressive, with two rich and creamy pates that seemed designed to be enjoyed together.

The food and drink were exceptional, and the service was friendly, if a bit slow on this particular evening. I believe our waitress must have been giving us some space to savor our meal and conversation. After finishing off the wine and indulging in the cheeses and pates, we both left feeling completely satisfied - no room for dessert!

Overall, it was an outstanding dining experience. My date raved about Cheuvront's all evening long, praising everything from the food to the atmosphere. It goes without saying that I'll be paying more attention to Kristi's recommendations in the future. If you're looking for a memorable night out, I highly recommend giving Cheuvront's a try!",ai,ai_rewrite,review,review_54
8,"are in their power Unlike some other recent thinkers such as Jason Stanley, Latour argues that these movements are only superficially like early 20th-century fascism. Rather, they represent a novel political order that is based on climate-change denial, where wealthy elites aim to create gated communities and escape routes by deregulation and disenfranchisement. All the while, they try (in vain) to realise themselves in things that seem ultimately unfulfilling and empty: superyachts, short trips into space or into the deep sea, and buying up entire islands. By influencing and subverting the democratic process, they try to encourage deregulation so as to pull more and more resources toward themselves. Realising (at some level) that this is not sustainable, they retreat into increasingly remote fantasies such as TESCREAL (an ideological bundle of -isms: transhumanism, extropianism, singularitarianism, cosmism, rationalism, effective altruism and longtermism). It’s promoted by philosophers at the University of Oxford such as Nick Bostrom, Hilary Greaves and William MacAskill. They envisage a future where humanity will transform itself into a posthuman state (facilitated by so-called ‘liberal’ eugenics and AI), colonise the accessible Universe, and plunder our ‘cosmic endowment’ of resources to produce astronomical amounts of ‘value’ (for an overview, see Émile Torres’s recent essay for Salon). The happiness of these future posthumans, most of whom would be digital, justifies neglecting current-day problems. ‘For the purposes of evaluating actions,’ Greaves and MacAskill write, ‘we can in the first instance often simply ignore all the effects contained in the first 100 (or even 1,000) years, focusing primarily on the further-future effects. Short-run effects act as little more than tie-breakers.’ The TESCREAL world leaves little scope for the diversity of expression of being human: the joyful, vulnerable and diverse ways of being in, for instance, Traveller and Roma communities, Indigenous societies, and more. Why do the wealthiest people seek to actively deny the climate crisis rather than address it? The philosopher Beth Lord, drawing on Spinoza, argues that they are in the grip of bad emotions. Normally, our emotions help us seek out what is good for us and avoid what is bad. We have three basic affects: joy, sadness and desire. Desire is an expression of the conatus: we seek things that bring us joy and avoid things that bring us sadness. Overall, this aids our self-preservation. However, because of the complex ways in which our emotions intermingle, it is possible to be mistaken in them and to desire things that really do not help us to realise ourselves. Seeking prestige, fame and wealth seems like it will help us realise ourselves but, actually, we are gripped by them and are in their power. While these misconceptions are prominent among the wealthiest elites, we see them in everyone. The ethicist Eugene Chislenko argues that we might all be climate crisis deniers in some sense. Not that we literally deny that there is a",human,human,essays_texts.csv,essays_65_chunk4
9," I've got to be honest, this store just isn't hitting the mark for me. It's my go-to spot on my commute home to pick up money orders for rent, but more often than not, I find myself waiting at the counter for a good 5 minutes or so while I hear ""someone will be right with you"" echoing from all directions. Their sandwich counter promises a quick three-minute turnaround, but it seems like that clock is always ticking a bit too fast. Honestly, I don't bother complaining because, well, I don't see the point of that sign if they can't seem to keep up with it.

As for their meat and produce sections, they leave a lot to be desired. The meat selection is almost laughable, and the quality of the produce usually doesn't meet my standards. And let's not forget about the single register always in operation  no self-checkout option here. It all adds up to make this store a highly inconvenient stop on my daily errands, and I wouldn't advise anyone to visit for anything.",ai,ai_rewrite,review,review_392
