source_id,source,text,label,generation_type
articles_2329,articles.csv,"BULAWAYO, Zimbabwe: New captain Kane Williamson has promised that New Zealand will continue their positive approach to Test cricket under his leadership. But he warned that the brand may look a little different when they face Zimbabwe in the first of two Test matches at Queens Sports Club. Williamson will become New Zealands 29th Test captain when he leads the Black Caps out on Thursday, taking over from Brendon McCullum following his retirement from the international game in February. McCullum was credited with turning around New Zealands fortunes and image over his last three years as captain, when he led them to the final of the 50 0 to Bangladesh in November 2014, but New Zealand have not forgotten the last time that they met in Bulawayo, when the hosts threatened to chase down a target of 366 and lost by just 34 runs. As such, New Zealand will not be taking the home side lightly.""They know these conditions better than anyone so we are expecting a tough challenge,"" said Williamson.""That last Test match could have gone either way up until the last few overs of the last day  fought match this time around.""",human,human
yelp_2423,yelp.csv,"Throwing the picture of Sheriff Arpaio on the wall aside, I really did enjoy the burger from here. After reading reviews, I decided to go with the sweet and spicy burger. It was just as good as the other reviews say it is. The burger was juicy and every topping on it melted together in my mouth perfectly. The fries were good, but they were just fries, nothing too special. The sweet potato fritters, on the other hand, were super tasty. They had a sound consistency and were loaded with rich flavor. It you like sweet potato fries at all you must try those fritters! All in all I had a pretty good experience here, and it's worth checking out if you're in the Arcadia neighborhood.",human,human
yelp_8167,yelp.csv,"I stayed here for work and had some meetings in the area which made the location very convenient for me. I just hopped in my car and was at my office 5 minutes later. The hotel seemed pretty new-ish and there were free cookies at check in. There is also a restaurant downstairs and a gym if you're into that sort of thing. My room was clean and well kept. My only minor complaint about the room would be that the air conditioning is super loud! There are a couple of restaurants right outside, but they close pretty early. Other than that there isn't too much close by, but if you drive up the street a few blocks to Happy Valley, you can find every big box store and chain restaurant imaginable.",human,human
articles_1401,articles.csv,"ISLAMABAD: Pakistans Interior Ministry has cleared the national cricket team to travel to India for the World Twenty20 after getting the full security assurances from Indian authorities following concerns about player safety, the Pakistan Cricket Board (PCB) said on Friday. Pakistan had earlier said its mens and womens teams would travel to India only after New Delhi gave a public guarantee on the safety of its players.""The interior minister has given permission to send the Pakistan cricket team to play the World T20 on the basis of solid assurances received from chief minister of West Bengal and the union home secretary and the home minister (in India),"" PCB executive committee chairman Najam Sethi told reporters.""The team is completely ready and hopefully they will fly to Dubai tonight and then from there will leave straight for India,"" Sethi added. Chairman Pakistan Cricket Board (PCB) Shaharyar Khan informed media that the interior minister Chaudhry Nisar Ali Khan officially permitted the PCB to send the cricket team to India for participating in the World Twenty20 tournament. Earlier, Najam Sethi, head PCB executive committee told media that the board had received Thursday night assurances from the International Cricket Council (ICC) and the Board of Cricket Control in India (BCCI) for give the Pakistan team a full security. Later on Friday, Pakistan high commissioner in India was assured by Indian home secretary Rajnath Singh to provide a foolproof security to Pakistan cricket team. Chief minister West Bengal Mamata Banerjee also assured Pakistan ambassador to give full security to the team. Subsequently, Najam Sethi called on federal interior minister and briefed him about the whole situation and also showed him correspondence between the PCB and the BCCI after which the minister decided to allowed to send the team to India. PCB chairman Shaharyar Khan told reporters in Lahore that the players were given the pullout option if they felt any security threat but all 15 squad members wanted to play in the tournament.""We want cricketing ties to remain active. Our hope is that our cricketing relations (between India and Pakistan) remain intact,"" Khan said.",human,human
articles_173,articles.csv,"KUWAIT CITY: Foreigners working in the energy  - equal to the native population. The remittances are estimated at 6.2 percent of the combined GDP of the six GCC states of $1.6 trillion, the report said, citing IMF and World Bank figures. In comparison, foreigners in the United States and Britain sent home just 0.7 percent and 0.8 percent of GDP, respectively, it said. Saudi Arabia topped the list with its estimated 10 million expats sending home $44 billion, followed by UAE with 29 billion. Remittances from Kuwait and Qatar were $12 billion and $9.5 billion, respectively, while smaller transfers were made out of Oman and Bahrain, the report said. The majority of Gulf expatriates originate from India, Egypt, the Philippines, Bangladesh and Pakistan, as well as Indonesia, Sri Lanka and Yemen. The report attributed the high level of remittances to curbs applied by GCC states on foreign ownership and investment. And unlike in Western countries, foreigners have no hope of acquiring citizenship in GCC states regardless of the duration of residence. The report advised GCC states to encourage expatriates to invest by launching specialised services and opening up their markets to foreign residents, especially the real estate sector.",human,human
essays_1669_chunk8,essays_texts.csv,"he began to cut, I flipped through the pages of the book. The chapter on skinning proposed a revolutionary method: poke a hole through the hide, tie one end of a rope to it, and the other end to your car bumper. Back up slowly. Zoop – off like a jacket. Something about this method seemed callous – one I probably wouldn’t ever try. Soon, the sight of blood and meat started to lose impact. My dad did all the work, cutting, separating, slicing away the silver skin. My mother held open the baggies, then labelled them, and put them on a shelf in the freezer below last year’s meat – brisket and rib meat, some of which I went home with. Soon, it was like it was any old Sunday. A family gathered together, storing up the larder for winter.",human,human
articles_1414,articles.csv,"strong>Five year Doping Agency (WADA) added meldonium to their banned substance list after concluding that it improves blood flow and boosts exercise capacity.""Im proud of how I have played the game. I have been honest and upfront,"" Sharapova said.""I look forward to the ITF hearing at which time they will receive my detailed medical records.""I hope I will be allowed to play again.""",human,human
yelp_3842,yelp.csv,Hubby and I have lived less than 5 miles from this place for over 20 years and never stopped in. Looking for good Chinese so yelped the area and Dragon Palace popped up with good reviews. Comments about the outside are right - little corner spot in dated strip mall but who cares if the food is good....and it was! We ordered three lunches to try out different dishes. Both of us loved the egg rolls along with the sweet n sour chicken and the house chicken. Not as thrilled with the beef and brocolli - nothing special on that dish so will stick with the chicken next time....and there will be a next time! Don't be fooled by the outside - step in and try the food - you'll be back.,human,human
articles_1088,articles.csv,"strong>MELBOURNE: Fernando Verdasco sent shockwaves through the Australian Open on Tuesday by defeating Rafael Nadal 7 6 3 6(4) 6 round exit was the 2009 champion's first at Melbourne Park and only his second at such an early stage in a grand slam. Down 2 minute classic with a cross season training camp. But his exit will do little to dispel the belief that the 14 final of any of the grand slams last season, his first without a major trophy since 2004.Verdasco was inspired, however, hauling himself back from the brink with a stand deliver game that mixed 90 winners with 91 unforced errors. It was partial revenge for his loss in an epic five final against Nadal in the 2009 tournament, the second longest match recorded at the Australian Open. The 32 old served masterfully in each tiebreak, particularly in the second to keep the match alive, but wobbled early in the fifth when he was broken early. Fortune often plays a part in the defeat of Nadal and so it proved for Verdasco, who swung wildly at a second serve with the frame of his racquet, sending the ball cross 2.He raised his hands in apology before acing Nadal to nudge ahead and ramped up the aggression on his more fancied opponent's serve. The pressure told on Nadal, who made his sixth double finals a year ago.""This year was a completely different story   I had been playing and practising great and working so much, so it's tough when you work so much and you arrive at a very important event and you go out so early.""",human,human
essays_447_chunk4,essays_texts.csv,"when he reflects on the way these tragic souls experience time. They are shaped by old practices and bad habits because they have forgotten that there can be a present in which things might be different. Dante sees that these figures are destined to live lives on repeat because the past dominates their minds and stops any novelty or freshness appearing. The point is underlined when the companions reach the floor of hell. It is not fiery and hot, but frozen and cold. Everything is still, locked in ice. In purgatory, there are no encounters that aren’t opportunities for expansion The hold that the past has on souls starts to shift when Dante and Virgil begin the climb up Mount Purgatory. Here the individuals know something that is beyond the ken of souls in hellish states of mind: that vices need not be vises. A relative freedom is born when it is seen how it’s possible not to be bound by mistakes and flaws, hate and fear. And it is a question of this kind of knowing that is a type of seeing – the remarkable ability of the conscious mind to grasp, intuit and develop, when it has the space to do so. That brings release because the individual becomes more open to possibilities that are breathed into them by the wider currents of life, to which they had been closed off. Dante realises that the souls they meet and converse with on the mountain are growing, and they explain how they are becoming capable of appreciating more of life around and about them. They are learning to trust and discern what can be called the imagination and, with that, comes another key capacity, co-creativity. This is living well as an art, a to and fro of making and being made. It is underlined by the artists whom Dante meets during the climb. Poets, in particular, address him, as you might expect, given that he is a poet. In purgatory, there are no encounters that aren’t opportunities for expansion. They tell him that, during their mortal lives, they often didn’t really know what they were writing about, though they felt the allure of what they were writing about, and that they are learning to close that gap now. It is a process of embodiment that comes to a head for Dante when he meets Beatrice on purgatory’s summit – a moment that could be expected to be full of love and celebration. What unadulterated delight might he find in seeing her smile once more, now in a realm beyond death? Only, she doesn’t greet him fondly. Far from it. She lambasts him over two excruciating cantos. Beatrice reproaches him because he had treated her like a god, longing only for her face, and not seeing that her beauty might be, for him, an awakening. Again, there is this theme",human,human
